"concept","broader","enLabel","deLabel"
"http://data.europa.eu/8mn/euroscivoc/11f4c8f8-79dc-4127-a732-40c359a5531f","http://data.europa.eu/8mn/euroscivoc/45e374e6-da15-44da-9995-9ddd9b01fea9","alkali metals","Alkalimetalle"
"http://data.europa.eu/8mn/euroscivoc/123e5118-1586-4a45-b4da-34583bd74940","http://data.europa.eu/8mn/euroscivoc/b05801b2-037a-454e-b0d7-3f3cb7a63cfb","ontology","Ontologie"
"http://data.europa.eu/8mn/euroscivoc/12a21821-c00b-40f4-b3aa-6703dcc43a90","http://data.europa.eu/8mn/euroscivoc/cf97c48c-d28c-4928-b6d0-d7cad57be273","mortality","Sterblichkeit"
"http://data.europa.eu/8mn/euroscivoc/12c980a5-034f-4cd5-8ce7-fcfe109c675c",,"social sciences","Sozialwissenschaften"
"http://data.europa.eu/8mn/euroscivoc/12df4518-adab-4191-a79f-74eb18ad1688","http://data.europa.eu/8mn/euroscivoc/64605fff-1946-4fd4-b021-e2e83b71dcac","industrial biotechnology","Industrielle Biotechnologie"
"http://data.europa.eu/8mn/euroscivoc/134581fe-5bce-4d8a-9279-bbb69c824ea3","http://data.europa.eu/8mn/euroscivoc/a348fcd2-3bdd-46f9-aa2c-a91301f1e12e","clinical microbiology","klinische Mikrobiologie"
"http://data.europa.eu/8mn/euroscivoc/13725a4a-8f04-4bbd-97bf-7d8f952aca38","http://data.europa.eu/8mn/euroscivoc/5784b7f1-c7ce-49d9-9f38-aebcda0ff41d","head and neck cancer","Kopf-Hals-Karzinom"
"http://data.europa.eu/8mn/euroscivoc/143d188d-70b4-456a-acde-7ecff3584dc7","http://data.europa.eu/8mn/euroscivoc/0bccc6b0-7563-4056-aff7-5436488dc37e","urban drainage","Stadtentwässerung"
"http://data.europa.eu/8mn/euroscivoc/14401fcb-cc47-4553-8d26-95ad6f007695","http://data.europa.eu/8mn/euroscivoc/26f65f92-419e-4cd5-be23-bdfc1085204b","e-commerce","elektronischer Handel"
"http://data.europa.eu/8mn/euroscivoc/14443ed3-6210-4ab1-bf33-af9ae80aa4ee","http://data.europa.eu/8mn/euroscivoc/40c5c393-e96d-47a2-b057-e823cfc1fa07","complex analysis","komplexe Analyse"
"http://data.europa.eu/8mn/euroscivoc/149f7cd2-b593-4307-bf6f-77fbfd3ee961","http://data.europa.eu/8mn/euroscivoc/f8714203-d97f-4852-b051-3b63b2795faa","government systems","Regierungssystem"
"http://data.europa.eu/8mn/euroscivoc/14dc3edd-a6a7-4e26-9f74-146a47282833","http://data.europa.eu/8mn/euroscivoc/4fc54e32-5c0e-4f9f-aec1-18bb20609eba","cosmochemistry","Kosmochemie"
"http://data.europa.eu/8mn/euroscivoc/14e75836-6f05-46f9-9c82-ca12468b0452","http://data.europa.eu/8mn/euroscivoc/64605fff-1946-4fd4-b021-e2e83b71dcac","other engineering and technologies","Sonstige Technik und Technologie"
"http://data.europa.eu/8mn/euroscivoc/1502e29e-286e-427b-8ccd-7716c8c5c26b","http://data.europa.eu/8mn/euroscivoc/d5bf8fe0-33cb-4355-b9a6-e759dbf567d1","white dwarfs","Weißer Zwerg"
"http://data.europa.eu/8mn/euroscivoc/15701609-4c65-462a-b230-d362816906ed","http://data.europa.eu/8mn/euroscivoc/a9aa37ce-d8d5-4d68-9123-ffbced0aed12","cell signaling","Zellkommunikation"
"http://data.europa.eu/8mn/euroscivoc/1583cad3-15fd-4040-ac6a-0a0e51923e8a","http://data.europa.eu/8mn/euroscivoc/e7264d76-d85b-474f-a0c4-a4cf98f198df","electric power transmission","Stromübertragung"
"http://data.europa.eu/8mn/euroscivoc/15dd89d5-ee26-45b6-93b3-3d9b8fe7401a","http://data.europa.eu/8mn/euroscivoc/65f1cb53-0694-477b-9900-61ac8ad78c67","geochronology","Geochronologie"
"http://data.europa.eu/8mn/euroscivoc/163e8940-1568-42a7-a52d-b66b18db16e0","http://data.europa.eu/8mn/euroscivoc/a357cf4d-48e6-4d5d-b8bf-3e39cbbbe713","history of medicine","Geschichte der Medizin"
"http://data.europa.eu/8mn/euroscivoc/174096ac-5f6f-4ce7-a4bb-675c8e06fc83","http://data.europa.eu/8mn/euroscivoc/74f1f6d9-2480-440a-a168-82967a9677ef","natural satellites","natürliche Satelliten"
"http://data.europa.eu/8mn/euroscivoc/1740da38-f2ca-4378-add0-0c6ab3cf3492","http://data.europa.eu/8mn/euroscivoc/17849784-ab0a-4622-9678-19c11f64c0d2","ancient philosophy","Philosophie der Antike"
"http://data.europa.eu/8mn/euroscivoc/17439090-a52c-4460-99ac-84f5454af69f","http://data.europa.eu/8mn/euroscivoc/e27cd9b6-055c-480d-8d63-e2d366ca94d7","sustainable economy","nachhaltige Wirtschaft"
"http://data.europa.eu/8mn/euroscivoc/1766f012-e5bd-4def-850c-ca9f86341f61","http://data.europa.eu/8mn/euroscivoc/76da466d-e78f-44b0-990a-db42f87b9454","ethnoarchaeology","Ethnoarchäologie"
